district_name,q2_type,q2_label,sample_count,district_total,sample_share
乐昌市,0,稳定占用型,5025,10310,0.4873908826382153
乐昌市,1,老城衰退型空置,2060,10310,0.1998060135790494
乐昌市,2,新区扩张型空置,1528,10310,0.1482056256062075
乐昌市,3,过渡混合型,1697,10310,0.1645974781765276
乳源瑶族自治县,0,稳定占用型,5613,9695,0.5789582258896339
乳源瑶族自治县,1,老城衰退型空置,1567,9695,0.1616297060340381
乳源瑶族自治县,2,新区扩张型空置,1429,9695,0.1473955647240845
乳源瑶族自治县,3,过渡混合型,1086,9695,0.1120165033522434
仁化县,0,稳定占用型,6483,9410,0.6889479277364506
仁化县,1,老城衰退型空置,906,9410,0.0962805526036131
仁化县,2,新区扩张型空置,1068,9410,0.1134962805526036
仁化县,3,过渡混合型,953,9410,0.1012752391073326
南雄市,0,稳定占用型,4464,9794,0.4557892587298346
南雄市,1,老城衰退型空置,2052,9794,0.2095160302225852
南雄市,2,新区扩张型空置,1781,9794,0.1818460281805186
南雄市,3,过渡混合型,1497,9794,0.1528486828670614
始兴县,0,稳定占用型,5808,9013,0.6444025296793521
始兴县,1,老城衰退型空置,1315,9013,0.1459003661378009
始兴县,2,新区扩张型空置,1139,9013,0.1263730167535781
始兴县,3,过渡混合型,751,9013,0.0833240874292688
新丰县,0,稳定占用型,6822,8311,0.8208398508001444
新丰县,1,老城衰退型空置,709,8311,0.0853086271206834
新丰县,2,新区扩张型空置,382,8311,0.0459631813259535
新丰县,3,过渡混合型,398,8311,0.0478883407532186
曲江区,0,稳定占用型,4122,6862,0.6006995045176333
曲江区,1,老城衰退型空置,749,6862,0.1091518507723695
曲江区,2,新区扩张型空置,1050,6862,0.1530166132322938
曲江区,3,过渡混合型,941,6862,0.1371320314777032
武江区,0,稳定占用型,1619,2857,0.5666783339166959
武江区,1,老城衰退型空置,153,2857,0.0535526776338817
武江区,2,新区扩张型空置,670,2857,0.2345117255862793
武江区,3,过渡混合型,415,2857,0.1452572628631431
浈江区,0,稳定占用型,1079,2425,0.4449484536082474
浈江区,1,老城衰退型空置,308,2425,0.1270103092783505
浈江区,2,新区扩张型空置,595,2425,0.245360824742268
浈江区,3,过渡混合型,443,2425,0.182680412371134
翁源县,0,稳定占用型,5812,9203,0.6315331956970553
翁源县,1,老城衰退型空置,1442,9203,0.1566880365098337
翁源县,2,新区扩张型空置,930,9203,0.1010540041290883
翁源县,3,过渡混合型,1019,9203,0.1107247636640226
边缘争议区,0,稳定占用型,1008,1473,0.6843177189409368
边缘争议区,1,老城衰退型空置,123,1473,0.0835030549898167
边缘争议区,2,新区扩张型空置,245,1473,0.1663272233536999
边缘争议区,3,过渡混合型,97,1473,0.0658520027155465
