district_name,risk_state,next_risk_state,count,probability
乐昌市,0,0,5,0.3125
乐昌市,0,1,8,0.5
乐昌市,0,2,3,0.1875
乐昌市,1,0,20,0.005613247263541959
乐昌市,1,1,2490,0.6988492843109739
乐昌市,1,2,1053,0.2955374684254841
乐昌市,2,0,51,0.002792837194020043
乐昌市,2,1,1869,0.10234926893379333
乐昌市,2,2,16341,0.8948578938721866
乳源瑶族自治县,0,0,21,0.525
乳源瑶族自治县,0,1,18,0.45
乳源瑶族自治县,0,2,1,0.025
乳源瑶族自治县,1,0,50,0.013557483731019523
乳源瑶族自治县,1,1,2586,0.7011930585683297
乳源瑶族自治县,1,2,1052,0.28524945770065074
乳源瑶族自治县,2,0,51,0.0037613393318091303
乳源瑶族自治县,2,1,2369,0.17471789955011433
乳源瑶族自治县,2,2,11139,0.8215207611180766
仁化县,0,0,3,0.3333333333333333
仁化县,0,1,6,0.6666666666666666
仁化县,0,2,0,0.0
仁化县,1,0,21,0.006027554535017222
仁化县,1,1,2597,0.7454075774971297
仁化县,1,2,866,0.24856486796785304
仁化县,2,0,23,0.0026512968299711817
仁化县,2,1,1258,0.145014409221902
仁化县,2,2,7394,0.8523342939481268
南雄市,0,0,11,0.6111111111111112
南雄市,0,1,5,0.2777777777777778
南雄市,0,2,2,0.1111111111111111
南雄市,1,0,10,0.003920031360250882
南雄市,1,1,1465,0.5742845942767543
南雄市,1,2,1076,0.4217953743629949
南雄市,2,0,8,0.0004652515266065717
南雄市,2,1,967,0.05623727827856935
南雄市,2,2,16220,0.9432974701948241
始兴县,0,0,0,0.0
始兴县,0,1,6,0.8571428571428571
始兴县,0,2,1,0.14285714285714285
始兴县,1,0,10,0.005336179295624333
始兴县,1,1,1247,0.6654215581643543
始兴县,1,2,617,0.32924226254002137
始兴县,2,0,11,0.0011134730235853832
始兴县,2,1,770,0.07794311165097682
始兴县,2,2,9098,0.9209434153254378
新丰县,0,0,80,0.7339449541284404
新丰县,0,1,26,0.23853211009174313
新丰县,0,2,3,0.027522935779816515
新丰县,1,0,75,0.0548646671543526
新丰县,1,1,874,0.6393562545720556
新丰县,1,2,418,0.3057790782735918
新丰县,2,0,55,0.010775862068965518
新丰县,2,1,797,0.15615203761755486
新丰县,2,2,4252,0.8330721003134797
曲江区,0,0,77,0.6209677419354839
曲江区,0,1,43,0.3467741935483871
曲江区,0,2,4,0.03225806451612903
曲江区,1,0,94,0.0412280701754386
曲江区,1,1,1643,0.7206140350877193
曲江区,1,2,543,0.2381578947368421
曲江区,2,0,61,0.0069436539556061464
曲江区,2,1,1344,0.15298804780876493
曲江区,2,2,7380,0.8400682982356289
武江区,0,0,151,0.7156398104265402
武江区,0,1,58,0.27488151658767773
武江区,0,2,2,0.009478672985781991
武江区,1,0,89,0.0863239573229874
武江区,1,1,713,0.6915615906886518
武江区,1,2,229,0.22211445198836083
武江区,2,0,30,0.0076103500761035
武江区,2,1,518,0.13140537798072044
武江区,2,2,3394,0.8609842719431761
浈江区,0,0,61,0.5648148148148148
浈江区,0,1,37,0.3425925925925926
浈江区,0,2,10,0.09259259259259259
浈江区,1,0,57,0.05263157894736842
浈江区,1,1,778,0.7183748845798708
浈江区,1,2,248,0.22899353647276086
浈江区,2,0,28,0.006854345165238678
浈江区,2,1,454,0.11113831089351285
浈江区,2,2,3603,0.8820073439412485
翁源县,0,0,14,0.42424242424242425
翁源县,0,1,16,0.48484848484848486
翁源县,0,2,3,0.09090909090909091
翁源县,1,0,57,0.03368794326241135
翁源县,1,1,1046,0.6182033096926713
翁源县,1,2,589,0.34810874704491723
翁源县,2,0,83,0.007090986757795814
翁源县,2,1,1140,0.09739427595044853
翁源县,2,2,10482,0.8955147372917557
边缘争议区,0,0,0,0.0
边缘争议区,0,1,0,0.0
边缘争议区,0,2,0,0.0
边缘争议区,1,0,3,0.006896551724137931
边缘争议区,1,1,289,0.664367816091954
边缘争议区,1,2,143,0.32873563218390806
边缘争议区,2,0,6,0.004073319755600814
边缘争议区,2,1,262,0.1778682959945689
边缘争议区,2,2,1205,0.8180583842498302
