grid_id,district_name,base_year,target_year,year,risk_state,prediction_scope,rvri,mismatch_gap,delta_rvri,delta_mismatch_gap,spatial_lag_rvri,neighbor_high_ratio,neighbor_env_level,lisa_type,is_edge_zone,neighbor_count,pred_probability,prob_rank_pct,top_decile_flag
G_058565,始兴县,2023,2024,2023,1,non_high_to_high,0.4321491620423129,-7.689426872893282,-0.1157958884191641,-3.1689628912614047,0.4614842393596221,0.5,low,NS,0,8,0.8226322783564419,1.0,1
G_024390,武江区,2023,2024,2023,1,non_high_to_high,0.4316574863411515,-8.216100663329733,-0.3325620826785284,-11.118781230607492,0.4491566694694737,0.625,low,LL,0,8,0.8212684907535456,0.9998430634023855,1
G_058237,始兴县,2023,2024,2023,1,non_high_to_high,0.4330327818272749,-7.752992877427877,-0.0755391727918565,-1.4054926170932758,0.4407728146142824,0.375,low,NS,0,8,0.7989490198642909,0.9996861268047709,1
G_028226,浈江区,2023,2024,2023,1,non_high_to_high,0.4229617779895657,-6.541675461658897,-0.2856981729071546,-9.2151631097791,0.3725875942411797,0.25,low,LL,0,8,0.7751497949172491,0.9995291902071564,1
G_056885,始兴县,2023,2024,2023,1,non_high_to_high,0.4310787505361229,-3.983293200990836,-0.1822234836682734,-5.915143085654245,0.4811327633651366,0.75,low,NS,0,8,0.7722698845118166,0.9993722536095417,1
G_057091,翁源县,2023,2024,2023,1,non_high_to_high,0.3776965562634728,-10.175486810225287,-0.3963963826341576,-13.39190098503407,0.4595645371512799,0.4285714285714285,low,LL,0,7,0.7708083545269464,0.9992153170119272,1
G_024787,武江区,2023,2024,2023,1,non_high_to_high,0.4353858517998782,-8.543554020925338,-0.0975206693250496,-2.495105703809216,0.5087237868131411,0.5,low,NS,0,8,0.7526323431820608,0.9990583804143126,1
G_058566,始兴县,2023,2024,2023,1,non_high_to_high,0.4138612605105197,-7.62330154617075,-0.1591183294222023,-4.230169764548082,0.482223164096828,0.625,low,NS,0,8,0.734932551916337,0.9989014438166981,1
G_058236,始兴县,2023,2024,2023,1,non_high_to_high,0.4120091156545946,-8.192957290573808,-0.1183298844042236,-2.104851436236916,0.4182295867413195,0.25,low,LL,0,8,0.7264294374536228,0.9987445072190835,1
G_035913,翁源县,2023,2024,2023,1,non_high_to_high,0.4352165933508098,-2.708245063340309,-0.1474048467158337,-3.670219016701053,0.4979073253409091,0.75,low,NS,0,8,0.7166123788890517,0.998587570621469,1
G_030144,曲江区,2023,2024,2023,1,non_high_to_high,0.4289472482581699,-7.46551037667912,-0.0584576287067511,-0.0687909074504018,0.4135124564563515,0.5,low,LL,0,6,0.7111814381908895,0.9984306340238543,1
G_057427,翁源县,2023,2024,2023,1,non_high_to_high,0.4060832968959261,-9.415574346117836,-0.114069773325156,-2.701533633185562,0.4107903363475681,0.5,low,LL,0,8,0.6982690554984735,0.9982736974262398,1
G_024388,武江区,2023,2024,2023,1,non_high_to_high,0.4134404082543618,-10.058488366933656,-0.1803580616561214,-5.455398467098529,0.4542694242595516,0.5,low,NS,0,8,0.6963842529549995,0.9981167608286252,1
G_058102,翁源县,2023,2024,2023,1,non_high_to_high,0.4338930720121394,-4.3159049759416535,-0.0121626004078085,0.9976412192437508,0.4631016528049847,0.75,low,NS,0,8,0.692753492587444,0.9979598242310107,1
G_017641,乳源瑶族自治县,2023,2024,2023,1,non_high_to_high,0.434690558984227,-6.421059330344397,-0.1467438788486875,-3.0288485728171795,0.4153389621014534,0.4285714285714285,low,LL,0,7,0.6801372111601894,0.9978028876333961,1
