scope,group_name,base_year,horizon,forecast_year,low_share,mid_share,high_share
overall,全域,2023,0,2023,0.005784366406422859,0.19565698391124317,0.7985586496823339
overall,全域,2023,1,2024,0.010916404294158447,0.22680887850413764,0.7622747172017039
overall,全域,2023,2,2025,0.014645518550434061,0.2456103983364872,0.7397440831130787
overall,全域,2023,3,2026,0.017289565990461903,0.2570943405217492,0.7256160934877889
overall,全域,2023,4,2027,0.019132648322195023,0.26418781651376055,0.7166795351640444
overall,全域,2023,5,2028,0.020401794320689046,0.2686146839862278,0.7109835216930831
overall,全域,2023,6,2029,0.02126789120542344,0.27140306522457885,0.7073290435699977
overall,全域,2023,7,2030,0.02185495434146943,0.2731738031038288,0.7049712425547018
overall,全域,2023,8,2031,0.02225083844671345,0.27430629690227715,0.7034428646510095
overall,全域,2023,9,2032,0.02251674692555322,0.2750350049036978,0.702448248170749
overall,全域,2023,10,2033,0.022694805669938516,0.27550630833511225,0.7017988859949493
district,乐昌市,2023,0,2023,0.0005674295441649329,0.18441460185360317,0.8150179686022319
district,乐昌市,2023,1,2024,0.003488698988270432,0.21257822054831,0.7839330804634195
district,乐昌市,2023,2,2025,0.004472870013356875,0.23053946446286958,0.7649876655237734
district,乐昌市,2023,3,2026,0.0048283329024500134,0.24164470306171748,0.7535269640358323
district,乐昌市,2023,4,2027,0.0049697436320825,0.2484103281344123,0.746619928233505
district,乐昌市,2023,5,2028,0.005032621385028939,0.25250225567432993,0.7424651229406408
district,乐昌市,2023,6,2029,0.005063635989134934,0.2549680938992401,0.7399682701116247
district,乐昌市,2023,7,2030,0.005080196109137501,0.2564512994183131,0.7384685044725491
district,乐昌市,2023,8,2031,0.005089508144700386,0.2573426166770732,0.7375678751782261
district,乐昌市,2023,9,2032,0.005094906028986261,0.2578779903733789,0.7370271035976346
district,乐昌市,2023,10,2033,0.005098087765777613,0.25819948726409025,0.7367024249701318
district,乳源瑶族自治县,2023,0,2023,0.002200488997555012,0.24254278728606357,0.7552567237163814
district,乳源瑶族自治县,2023,1,2024,0.007284303436951045,0.30301640728852963,0.6896992892745194
district,乳源瑶族自治县,2023,2,2025,0.010526592380314576,0.3362537491129095,0.653219658506776
district,乳源瑶族自治县,2023,3,2026,0.01254219652661021,0.35464492804583725,0.6328128754275527
district,乳源瑶族自治县,2023,4,2027,0.013772969976761274,0.3648822866421506,0.6213447433810884
district,乳源瑶族自治县,2023,5,2028,0.014514783324579967,0.3706108115376067,0.6148744051378136
district,乳源瑶族自治县,2023,6,2029,0.01495756257753313,0.3738309455294111,0.611211491893056
